x,p_x,y,p_y,p_yx,pmi_yx,pages,paragraphs,volume
Donato (Donatello),0.04861111111111111,"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.03298611111111111,0.10714285714285714,1.699605066662279,"[201, 147, 270]","['228', '162', '401']","['1', '1', '2']"
"Buonarroti, Michelagnolo",0.020833333333333332,"Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)",0.027777777777777776,0.08333333333333333,1.5849625007211563,[242],['337'],['3']
Donato (Donatello),0.04861111111111111,Michelozzo Michelozzi,0.012152777777777778,0.03571428571428571,1.5552151573271038,[260],['292'],['1']
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.03298611111111111,"Verrocchio, Andrea",0.019097222222222224,0.05263157894736842,1.4625658693614294,[270],['401'],['2']
Donato (Donatello),0.04861111111111111,"Robbia, Luca della",0.013888888888888888,0.03571428571428571,1.3625700793847084,[121],['128'],['1']
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.03298611111111111,"Buonarroti, Michelagnolo",0.020833333333333332,0.05263157894736842,1.3370349872775706,[159],['179'],['1']
"Sanzio, Raffaello (Raffaello da Urbino)",0.07465277777777778,"Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)",0.027777777777777776,0.06976744186046512,1.3286227474613708,"[242, 45, 211]","['337', '48', '282']","['3', '3', '3']"
"Vinci, Leonardo da",0.034722222222222224,"San Gallo, Giuliano da",0.024305555555555556,0.049999999999999996,1.0406419844973458,[196],['258'],['3']
Donato (Donatello),0.04861111111111111,"Verrocchio, Andrea",0.019097222222222224,0.03571428571428571,0.9031384607474108,[270],['401'],['2']
"Vinci, Leonardo da",0.034722222222222224,"Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)",0.027777777777777776,0.049999999999999996,0.8479969065549501,[242],['337'],['3']
"Vinci, Leonardo da",0.034722222222222224,"Sanzio, Raffaello (Raffaello da Urbino)",0.07465277777777778,0.09999999999999999,0.42173215185285207,"[242, 212]","['337', '285']","['3', '3']"
