artist1,artist2,dice_coefficient,pages,paragraphs,volume
"Trento, Antonio da (Antonio Fantuzzi)","Beccafumi, Domenico (Domenico di Pace)",0.11764705882352941,[108],['183'],['5']
"San Michele, Michele","Brugnuoli, Bernardino",0.11764705882352941,[234],['317'],['6']
"San Michele, Michele","San Michele, Matteo",0.11764705882352941,[219],['294'],['6']
"Sarto, Andrea del (Andrea d' Agnolo)","Pontormo, Jacopo da (Jacopo Carrucci)",0.11594202898550725,"[104, 221, 256, 148]","['149', '312', '380', '186']","['4', '4', '5', '6']"
"Cosimo, Andrea di (Andrea di Cosimo Feltrini)",Franciabigio (Francia),0.1111111111111111,[232],['328'],['4']
"San Gallo, Giuliano da","Giamberti, Francesco",0.1111111111111111,[191],['246'],['3']
"Bugiardini, Giuliano","Bronzino, Agnolo",0.1111111111111111,[113],['143'],['6']
"Contucci, Andrea (Andrea Sansovino)","Montelupo, Baccio da",0.1111111111111111,[43],['53'],['4']
"San Gallo, Antonio da (the younger)","Melighino, Jacomo (Jacopo Melighini)",0.1111111111111111,[140],['232'],['5']
"Buonarroti, Michelagnolo",Tribolo (Niccolï¿½),0.1095890410958904,"[11, 112, 10, 32]","['10', '142', '9', '38']","['6', '6', '6', '6']"
"Buonarroti, Michelagnolo","Piombo, Fra Sebastiano Viniziano del (Sebastiano Luciani)",0.10909090909090909,"[175, 177, 176]","['279', '281', '280']","['5', '5', '5']"
"Bandinelli, Baccio (Baccio de' Brandini)","Cellini, Benvenuto",0.10909090909090909,"[93, 94, 97]","['117', '119', '123']","['6', '6', '6']"
Giotto,"Tafi, Andrea",0.10810810810810811,"[51, 50]","['162', '158']","['0', '0']"
"Sanzio, Raffaello (Raffaello da Urbino)","Urbino, Bramante da",0.10638297872340426,"[223, 237, 232, 143, 6]","['303', '328', '319', '186', '8']","['3', '3', '3', '3', '5']"
Stefano,Giotto,0.10526315789473684,"[111, 113]","['246', '251']","['0', '0']"
Donato (Donatello),"Uccello, Paolo",0.10526315789473684,"[140, 139]","['154', '152']","['1', '1']"
"Verrocchio, Andrea","Credi, Lorenzo di",0.10526315789473684,[50],['63'],['4']
"Cosimo, Andrea di (Andrea di Cosimo Feltrini)","Pontormo, Jacopo da (Jacopo Carrucci)",0.10526315789473684,"[150, 151]","['189', '190']","['6', '6']"
"Urbino, Bramante da",Ventura,0.10526315789473684,[148],['193'],['3']
"Castelfranco, Giorgione da","Piombo, Fra Sebastiano Viniziano del (Sebastiano Luciani)",0.10526315789473684,[173],['277'],['5']
"Pontormo, Jacopo da (Jacopo Carrucci)","Lappoli, Giovanni Antonio",0.10526315789473684,"[256, 257]","['380', '381']","['5', '5']"
Giotto,"Pisano, Andrea",0.10256410256410256,"[126, 124]","['267', '266']","['0', '0']"
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Panicale, Masolino da",0.1,[171],['194'],['1']
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Ghiberti, Vittorio",0.1,[162],['185'],['1']
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Ghiberti, Bonaccorso",0.1,[160],['181'],['1']
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",Polycletus,0.1,[160],['181'],['1']
"Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)","Luigi, Andrea (L' Ingegno)",0.1,[47],['51'],['3']
"Urbino, Bramante da","Claudio, Maestro",0.1,[254],['351'],['3']
"Ghirlandajo, Ridolfo","Vaga, Perino del (Perino Buonaccorsi, or de' Ceri)",0.1,"[192, 191]","['301', '299']","['5', '5']"
Franciabigio (Francia),"Pontormo, Jacopo da (Jacopo Carrucci)",0.1,"[104, 221]","['149', '312']","['4', '4']"
Giotto,"Gaddi, Taddeo",0.0975609756097561,"[186, 185]","['364', '361']","['0', '0']"
"Vecelli, Tiziano (Tiziano da Cadore)","Vaga, Perino del (Perino Buonaccorsi, or de' Ceri)",0.0975609756097561,"[153, 222]","['226', '340']","['4', '5']"
"Urbino, Bramante da","Udine, Giovanni da (Giovanni Nanni, or de' Ricamatori)",0.09523809523809523,[237],['328'],['3']
"Sogliani, Giovanni Antonio","Vaga, Perino del (Perino Buonaccorsi, or de' Ceri)",0.09523809523809523,"[162, 215]","['237', '329']","['4', '5']"
"Contucci, Andrea (Andrea Sansovino)","Mosca, Simone",0.09523809523809523,[187],['252'],['6']
"Vaga, Perino del (Perino Buonaccorsi, or de' Ceri)","Lappoli, Giovanni Antonio",0.09302325581395349,"[258, 259]","['382', '385']","['5', '5']"
"Sogliani, Giovanni Antonio","Beccafumi, Domenico (Domenico di Pace)",0.09090909090909091,[248],['372'],['5']
"Sanzio, Raffaello (Raffaello da Urbino)","Piombo, Fra Sebastiano Viniziano del (Sebastiano Luciani)",0.0898876404494382,"[175, 174, 177, 178]","['279', '278', '281', '282']","['5', '5', '5', '5']"
"Bellini, Giovanni","Piombo, Fra Sebastiano Viniziano del (Sebastiano Luciani)",0.08695652173913043,[173],['277'],['5']
Baviera,"Rosso, Il (Giovan Battista de' Rossi)",0.08695652173913043,[109],['186'],['5']
"Rosso, Il (Giovan Battista de' Rossi)","Caraglio, Giovanni Jacopo",0.08695652173913043,[109],['186'],['5']
"Rosso, Il (Giovan Battista de' Rossi)","Vico, Enea",0.08695652173913043,[111],['190'],['5']
"Gherardi, Cristofano (Doceno)","Colle, Raffaello dal (Raffaello dal Borgo)",0.08695652173913043,[118],['147'],['6']
"Gherardi, Cristofano (Doceno)","Cungi, Battista",0.08695652173913043,[122],['152'],['6']
"Gherardi, Cristofano (Doceno)","Pagani, Lattanzio",0.08695652173913043,[128],['159'],['6']
"Sanzio, Raffaello (Raffaello da Urbino)","Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)",0.08421052631578947,"[242, 45, 211, 249]","['337', '48', '282', '338']","['3', '3', '3', '6']"
"Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)","Pinturicchio, Bernardino",0.08333333333333333,[46],['50'],['3']
"Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)","Signorelli, Luca (Luca da Cortona)",0.08333333333333333,[199],['264'],['6']
"Urbino, Bramante da","Marcilla, Guglielmo da (Guillaume de Marcillac)",0.08333333333333333,[254],['351'],['3']
"Rosso, Il (Giovan Battista de' Rossi)","Vasari, Giorgio",0.08333333333333333,[260],['386'],['5']
"San Gallo, Antonio da (the younger)","Mosca, Simone",0.08333333333333333,[190],['254'],['6']
"Pisano, Andrea","Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.08,[154],['174'],['1']
"San Gallo, Giuliano da","Giocondo, Fra",0.08,[126],['210'],['5']
"Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)","Lippi, Filippo (Filippino)",0.07692307692307693,[44],['47'],['3']
