instance_id,n_distinct_pairs,n_distinct_persons,involves,involves_2,label
viewsari:cooccurrence_per-san_1,5,7,viewsari:perugino-pietro-pietro-vannucci-or-pietro-da-castel-della-pieve,viewsari:sanzio-raffaello-raffaello-da-urbino,"Co-occurrence of Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve) and Sanzio, Raffaello (Raffaello da Urbino), Vol. 4, Para. 283"
viewsari:cooccurrence_per-san_1,5,7,viewsari:perugino-pietro-pietro-vannucci-or-pietro-da-castel-della-pieve,viewsari:santi-giovanni-de,"Co-occurrence of Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve) and Santi, Giovanni de', Vol. 4, Para. 282"
viewsari:cooccurrence_per-san_1,5,7,viewsari:peruzzi-baldassarre-baldassarre-da-siena,viewsari:san-gallo-antonio-da-the-younger,"Co-occurrence of Peruzzi, Baldassarre (Baldassarre da Siena) and San Gallo, Antonio da (the younger), Vol. 5, Para. 100"
viewsari:cooccurrence_per-san_1,5,7,viewsari:perugino-pietro-pietro-vannucci-or-pietro-da-castel-della-pieve,viewsari:san-gallo-aristotile-bastiano-da,"Co-occurrence of Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve) and San Gallo, Aristotile (Bastiano) da, Vol. 8, Para. 1"
viewsari:cooccurrence_per-san_1,5,7,viewsari:perugino-pietro-pietro-vannucci-or-pietro-da-castel-della-pieve,viewsari:sansovino-jacopo-jacopo-tatti,"Co-occurrence of Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve) and Sansovino, Jacopo (Jacopo Tatti), Vol. 9, Para. 286"
viewsari:cooccurrence_pis-pis_1,2,4,viewsari:pisano-giovanni,viewsari:pisano-niccola,"Co-occurrence of Pisano, Giovanni and Pisano, Niccola, Vol. 1, Para. 46"
viewsari:cooccurrence_pis-pis_1,2,4,viewsari:pisano-andrea,viewsari:pisano-tommaso,"Co-occurrence of Pisano, Andrea and Pisano, Tommaso, Vol. 1, Para. 174"
viewsari:cooccurrence_pra-sal_1,2,3,viewsari:prato-francesco-di-girolamo-dal,viewsari:salviati-francesco-francesco-de-rossi,"Co-occurrence of Prato, Francesco di Girolamo dal and Salviati, Francesco (Francesco de' Rossi), Vol. 8, Para. 241"
viewsari:cooccurrence_pra-sal_1,2,3,viewsari:prato-girolamo-dal,viewsari:salviati-francesco-francesco-de-rossi,"Co-occurrence of Prato, Girolamo dal and Salviati, Francesco (Francesco de' Rossi), Vol. 8, Para. 242"
viewsari:cooccurrence_rob-rob_1,3,4,viewsari:robbia-agostino-della,viewsari:robbia-luca-della,"Co-occurrence of Robbia, Agostino della and Robbia, Luca della, Vol. 2, Para. 101"
viewsari:cooccurrence_rob-rob_1,3,4,viewsari:robbia-girolamo-della,viewsari:robbia-luca-della,"Co-occurrence of Robbia, Girolamo della and Robbia, Luca della, Vol. 2, Para. 103"
viewsari:cooccurrence_rob-rob_1,3,4,viewsari:robbia-girolamo-della,viewsari:robbia-luca-della-the-younger,"Co-occurrence of Robbia, Girolamo della and Robbia, Luca della (the younger), Vol. 2, Para. 103"
