instance_id,rdf:type,oa:start,oa:end
viewsari:position-selector_25284,doco:TextPositionSelector,1105,1279
viewsari:position-selector_25285,doco:TextPositionSelector,476,510
viewsari:position-selector_25286,doco:TextPositionSelector,155,168
viewsari:position-selector_25287,doco:TextPositionSelector,324,337
viewsari:position-selector_25288,doco:TextPositionSelector,1911,1930
viewsari:position-selector_25289,doco:TextPositionSelector,324,987
viewsari:position-selector_25290,doco:TextPositionSelector,663,737
viewsari:position-selector_25291,doco:TextPositionSelector,729,758
viewsari:position-selector_25292,doco:TextPositionSelector,663,758
viewsari:position-selector_25293,doco:TextPositionSelector,450,478
viewsari:position-selector_25294,doco:TextPositionSelector,450,478
viewsari:position-selector_25295,doco:TextPositionSelector,783,1061
viewsari:position-selector_25296,doco:TextPositionSelector,287,741
viewsari:position-selector_25297,doco:TextPositionSelector,388,656
viewsari:position-selector_25298,doco:TextPositionSelector,388,695
viewsari:position-selector_25299,doco:TextPositionSelector,388,1241
